2012-1013,T37
2015-0869,T11
2005-1312,T24
2015-2838,T38
2015-3663,T28
2008-1732,T21
2015-2576,T27
2014-4555,T22
2013-1037,T28
2015-6820,T8
2012-5140,T8
2005-3532,T10
2013-3201,T28
2010-4801,T18
2016-2047,T35
2015-2648,T27
2008-6388,T3
2014-4035,T1
2008-1641,T21
2015-7284,T38
2015-2864,T10
2001-0433,T11
2008-5144,T9
2012-2423,T30
2009-4620,T21
2005-3297,T14
2003-0147,T10
2008-2455,T21
2006-0772,T5
2009-1894,T9
2015-5840,T23
2009-4950,T5
2009-3978,T23
2014-1696,T10
2013-6829,T33
2008-6798,T21
2009-3896,T31
2004-2705,T37
2012-3047,T7
2014-4236,T27
2007-6538,T5
2013-1111,T19
2008-6067,T39
2008-3043,T24
2007-4825,T36
2003-1553,T3
1999-0234,T33
2006-4006,T37
2002-1439,T20
2013-1926,T25
2004-0029,T3
2001-0100,T33
2013-7100,T37
2013-1545,T27
2014-4075,T7
2014-6635,T1
2015-5800,T28
1999-1592,T13
2006-2503,T21
2014-2925,T7
2011-4584,T6
2013-5790,T27
2012-2690,T9
2009-5017,T25
1999-0836,T9
2002-0896,T10
2006-0452,T37
2013-6869,T5
2008-0207,T1
2013-2503,T35
2004-0107,T9
2009-4606,T11
2005-1122,T11
2012-3838,T30
2015-3202,T9
2010-2720,T16
2014-0174,T35
2014-0809,T36
2007-2232,T33
2001-0715,T3
2010-0007,T15
2009-3016,T25
2008-6282,T5
2006-4918,T2
2010-5076,T35
2007-3470,T37
2008-6747,T6
2007-2359,T26
2015-5785,T28
2013-7402,T37
2014-2879,T7
2006-3819,T33
2008-2840,T18
2002-1610,T15
2009-3763,T27
2006-0456,T15
2008-6139,T18
2014-0623,T7
2006-0233,T22
2002-1864,T36
2007-0441,T20
2011-3529,T27
2014-5419,T10
2002-0267,T10
2015-4414,T18
2010-1251,T17
2006-1526,T4
2011-4083,T3
2007-0363,T1
2000-0218,T26
2006-5128,T21
2012-1035,T31
2008-3174,T15
2007-6139,T2
1999-0370,T36
2014-4947,T20
2014-7048,T0
2007-2898,T21
2012-4203,T12
2004-1153,T23
2013-5381,T20
2007-5844,T18
2010-2850,T18
2005-3988,T21
1999-1466,T19
2014-4762,T7
2001-1152,T33
2009-0457,T18
2015-1759,T17
1999-0847,T14
2002-1449,T3
2006-7065,T37
2015-2751,T29
2009-1704,T25
2012-1873,T25
2011-1160,T15
1999-1166,T15
2002-1095,T29
2005-3676,T21
2012-5509,T3
2009-2297,T4
2005-2899,T22
2008-4696,T22
2013-7224,T3
2007-5634,T15
2014-3634,T23
2002-1320,T37
2014-7127,T0
2010-3965,T34
2009-4748,T21
2007-3213,T1
2006-1935,T11
2014-5902,T0
2007-0582,T5
2013-5912,T24
2007-4297,T1
2007-1938,T8
2005-0061,T34
2012-4181,T8
2015-7203,T23
2008-1563,T37
2006-4901,T33
2002-2377,T1
2013-0833,T8
2004-0474,T4
2008-1454,T35
2007-4050,T20
2009-4756,T14
2000-0310,T37
2009-2620,T37
2000-0032,T9
2002-0839,T9
2011-4053,T34
2011-3074,T8
2010-2078,T36
2011-2547,T19
2006-3142,T21
2009-2213,T19
2007-4873,T3
2008-4147,T22
2003-1428,T6
2006-1713,T1
2007-1304,T5
2008-0994,T10
2012-2654,T35
2010-2303,T39
1999-0926,T31
